match_id,fase,grupo,data_oficial_fifa,horario_et,data_brasilia,horario_brasilia,time_casa,time_fora,confronto,chaveamento,estadio,fonte_calendario,fonte_horario
74,16 avos de final,,2026-06-29,16:30,2026-06-29,17:30,1E,3ABCDF,1E x 3ABCDF,1E x 3ABCDF,Boston Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
75,16 avos de final,,2026-06-29,21:00,2026-06-29,22:00,1F,2C,1F x 2C,1F x 2C,Estadio Monterrey,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
76,16 avos de final,,2026-06-29,13:00,2026-06-29,14:00,1C,2F,1C x 2F,1C x 2F,Houston Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
77,16 avos de final,,2026-06-30,17:00,2026-06-30,18:00,1I,3CDFGH,1I x 3CDFGH,1I x 3CDFGH,New York New Jersey Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
78,16 avos de final,,2026-06-30,13:00,2026-06-30,14:00,2E,2I,2E x 2I,2E x 2I,Dallas Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
79,16 avos de final,,2026-06-30,21:00,2026-06-30,22:00,1A,3CEFHI,1A x 3CEFHI,1A x 3CEFHI,Mexico City Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
80,16 avos de final,,2026-07-01,12:00,2026-07-01,13:00,1L,3EHIJK,1L x 3EHIJK,1L x 3EHIJK,Atlanta Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
81,16 avos de final,,2026-07-01,20:00,2026-07-01,21:00,1D,3BEFIJ,1D x 3BEFIJ,1D x 3BEFIJ,San Francisco Bay Area Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
82,16 avos de final,,2026-07-01,16:00,2026-07-01,17:00,1G,3AEHIJ,1G x 3AEHIJ,1G x 3AEHIJ,Seattle Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
83,16 avos de final,,2026-07-02,19:00,2026-07-02,20:00,2K,2L,2K x 2L,2K x 2L,Toronto Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
84,16 avos de final,,2026-07-02,15:00,2026-07-02,16:00,1H,2J,1H x 2J,1H x 2J,Los Angeles Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
85,16 avos de final,,2026-07-02,23:00,2026-07-03,00:00,1B,3EFGIJ,1B x 3EFGIJ,1B x 3EFGIJ,BC Place Vancouver,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
86,16 avos de final,,2026-07-03,18:00,2026-07-03,19:00,1J,2H,1J x 2H,1J x 2H,Miami Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
87,16 avos de final,,2026-07-03,21:30,2026-07-03,22:30,1K,3DEIJL,1K x 3DEIJL,1K x 3DEIJL,Kansas City Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
88,16 avos de final,,2026-07-03,14:00,2026-07-03,15:00,2D,2G,2D x 2G,2D x 2G,Dallas Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
89,Oitavas de final,,2026-07-04,17:00,2026-07-04,18:00,Vencedor jogo 74,Vencedor jogo 77,Vencedor jogo 74 x Vencedor jogo 77,W74 x W77,Philadelphia Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
90,Oitavas de final,,2026-07-04,13:00,2026-07-04,14:00,Vencedor jogo 73,Vencedor jogo 75,Vencedor jogo 73 x Vencedor jogo 75,W73 x W75,Houston Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
91,Oitavas de final,,2026-07-05,16:00,2026-07-05,17:00,Vencedor jogo 76,Vencedor jogo 78,Vencedor jogo 76 x Vencedor jogo 78,W76 x W78,New York New Jersey Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
92,Oitavas de final,,2026-07-05,20:00,2026-07-05,21:00,Vencedor jogo 79,Vencedor jogo 80,Vencedor jogo 79 x Vencedor jogo 80,W79 x W80,Mexico City Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
93,Oitavas de final,,2026-07-06,15:00,2026-07-06,16:00,Vencedor jogo 83,Vencedor jogo 84,Vencedor jogo 83 x Vencedor jogo 84,W83 x W84,Dallas Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
94,Oitavas de final,,2026-07-06,20:00,2026-07-06,21:00,Vencedor jogo 81,Vencedor jogo 82,Vencedor jogo 81 x Vencedor jogo 82,W81 x W82,Seattle Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
95,Oitavas de final,,2026-07-07,12:00,2026-07-07,13:00,Vencedor jogo 86,Vencedor jogo 88,Vencedor jogo 86 x Vencedor jogo 88,W86 x W88,Atlanta Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
96,Oitavas de final,,2026-07-07,16:00,2026-07-07,17:00,Vencedor jogo 85,Vencedor jogo 87,Vencedor jogo 85 x Vencedor jogo 87,W85 x W87,BC Place Vancouver,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
97,Quartas de final,,2026-07-09,16:00,2026-07-09,17:00,Vencedor jogo 89,Vencedor jogo 90,Vencedor jogo 89 x Vencedor jogo 90,W89 x W90,Boston Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
98,Quartas de final,,2026-07-10,15:00,2026-07-10,16:00,Vencedor jogo 93,Vencedor jogo 94,Vencedor jogo 93 x Vencedor jogo 94,W93 x W94,Los Angeles Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
99,Quartas de final,,2026-07-11,17:00,2026-07-11,18:00,Vencedor jogo 91,Vencedor jogo 92,Vencedor jogo 91 x Vencedor jogo 92,W91 x W92,Miami Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
100,Quartas de final,,2026-07-11,21:00,2026-07-11,22:00,Vencedor jogo 95,Vencedor jogo 96,Vencedor jogo 95 x Vencedor jogo 96,W95 x W96,Kansas City Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
101,Semifinal,,2026-07-14,15:00,2026-07-14,16:00,Vencedor jogo 97,Vencedor jogo 98,Vencedor jogo 97 x Vencedor jogo 98,W97 x W98,Dallas Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
102,Semifinal,,2026-07-15,15:00,2026-07-15,16:00,Vencedor jogo 99,Vencedor jogo 100,Vencedor jogo 99 x Vencedor jogo 100,W99 x W100,Atlanta Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
103,Disputa de 3º lugar,,2026-07-18,17:00,2026-07-18,18:00,Perdedor jogo 101,Perdedor jogo 102,Perdedor jogo 101 x Perdedor jogo 102,L101 x L102,Miami Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
104,Final,,2026-07-19,15:00,2026-07-19,16:00,Vencedor jogo 101,Vencedor jogo 102,Vencedor jogo 101 x Vencedor jogo 102,W101 x W102,New York New Jersey Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
